사용일자,강남,반포,삼청,서촌,성수,신사,신촌,연남,을지로,이태원,장충,종로,청담,한남,혜화,홍대
20160120,123260122928,3186323518134177871607816700,2688128132,,592357393012733091,155481731932813356713927243122,775108220296208035087852099,3832364712131766690687148268486986,373143859730113491266414248141432389223823566985691857666224,127911390859606314,1547514890156781661143864278926795134140447439763887,947611743287522871840553389101491914604,26810296472510629163,3344452145431022610717,4158842998,12131766690687148268486986
20160121,124139124517,1658417241185511821134673676,2778728877,,303413317661225977,162611808934229370253935543672,819117920722212965230453684,4210392373047312734067651411911883,101127612972587065919023825239121513014897372703872860346318,619865671333814654,4009399241324503859789181594716665457142121581615387,962812018425174031330675308691523915191,25188292642695429850,4533481147591064111288,4261044440,73047312734067651411911883
20160122,131083135327,1678217325193171913234493474,2851829635,,306013375962235844,360054122241372461661694319528,791114521985226625638259090,4245392512842268794681207959489578,155241539825003248866226861739371653910510114471317059996544,706279461551419636,4185420591699528164411736516426157174607444343944642,323433178943003419659893126961603916294,25099299222734130893,1093811488582847824867,4523347187,12842268794681207959489578
20160123,8749190904,89529021141471381428052770,1983621906,,135231481141213972,336733530329395312501375414880,52692535221800318558541515,3079305880497898211113217773727501,38927376421051998799714944150195729203512036134023863,634374341707620531,1274714054108891036129452748257626692676283289626854,31240309822387923208551182131160611299,14690159241716718148,83058683323132894742,4459847096,80497898211113217773727501
20160124,4313841838,162816068329785547944973,1160212242,,2122218167067562,6348667015346163181351813434,29427832261301771049211052,171817174943472978912974966047340,10251119259082467969676696323529202448261310103169852,116351071836473831,160115524601486115741522150214977421822869126531,6194519414890131039108875425253660,7957833185089198,18791900451744154979,2705527819,4943472978912974966047340
20160125,118978119147,3059307716136167441750517220,2484626167,,588256413056233029,379944227532285350891503517039,500625141220412212807851059,3812361267165684241071175567116842,1105312485354003697858116263548385661022888229881450214245,547756801190612901,1515614555444442473949395741224424794685851512515503,947311614142961410438369365862775527570,24302288272594628723,980710272272745874516,3745038486,67165684241071175567116842
20160126,123381123701,1679217389189521859335463422,2715129227,,625960743158734156,164271873440885451533496738043,526035435321449223488851141,4163389375697421735597661712661890,627068305885660197235972348415724156011128212806103667138321,649867431359914647,4727456142144164432445948933933016101169031616215610,154231521931253314324190039810990712223,25858302872681430151,1080011315425049505015,4403845947,75697421735597661712661890
20160127,127055127362,3526354816729174171896318424,3004831936,,319523478464736168,409954538835884383911669218728,542065571821947227428881132,4331417977787858769228053513941999,6046060545246132451516329163211186513497387164019364616857,713874311469115559,170571805316346159144731448042824203443947601022810170,4493042690327023244910003126971581915988,26082303572722330177,1111011530499850705341,4716148806,77787858769228053513941999
20160128,123734125481,3745377219021186491669017283,2854230780,,314243452763296086,360373966340892454971663718887,220352282153097546199071178,4455415980287794771648084113392100,375493931310113931312816591162362421823872610616171665787157,708374141432215966,1630915548164171735742764188428846149095948447004401,973012643326933296444257415381595716067,26438299122535329742,1082111354443252395254,4588647970,80287794771648084113392100
20160129,127993133752,3540351320019199621684517500,2928930980,,643960153136034755,176272079337345425924328147941,228092385355095586738521262,4449414082548159803789232414562280,201165713436626886256624514244471640516350642772243746739436,757285661682921515,1667417593474144921678616163427643284394466691139413,978613247445064298533376334901582317028,25869307672666330578,4730495650711146711876,4665449264,82548159803789232414562280
20160130,9352097519,27622755149581450096989611,2296525618,,463144371472716089,153061700636511386253390135941,53190543072002021072587583,3668358285448196882129943014592690,4460491342297403611199610987117451160855746384302356624143,2168425868941010225,8136636429903178292929243385315114133151381189311142,13145135633964137319283252794556989301,16713177711608617507,91199754424037453985,4925552987,85448196882129943014592690
20160131,5450153309,60126157102171001620282025,1480716182,,2905297482469165,1913920059185051852183679044,38660363621332014024417385,2690257964545725657166308111401945,156517793066629434836181024397420430943311301458414403,162071467962386501,2123194296951062583488036502351871954193118801812,799971592177519421126181223530364732,8913930390209690,60456858251725845433,3652737469,64545725657166308111401945
20160201,117796117567,1837918162164021701134833522,2662827969,,316233420360825992,401084443533555365701566617605,517295280521018217278241163,4295387870531718091152176871996878,568115800023226231431564715676112271276410360713798363456828,125411332360276250,1621816862162601559446414417888895934312465941214110,405803865230442303569614120521471214630,26556297112475829119,4627471947471039711013,3935940554,70531718091152176871996878
20160202,122020121359,3513355318889186731653517057,2822930019,,637961403138734368,414204579834671372981644218378,828116052614538522145822209,4293412611771761717657394672697030,642068881145512927103682038461584415914423533234371609715999,133361429167937081,45784463164051584816338172939548101894400472241224237,152081506197281226841231390563132031198,26779299662545029525,1095211524505149954332,4248444128,11771761717657394672697030
20160203,123240123187,3744379019189190491656117104,2806029998,,319083506164876152,350803778541613459991685618877,5382055041213292192210101250,4570431113231918732307564773267126,599846012124150239561632516189380883943430117111316964517086,139431491370977259,17122182909996102174492487343654335171721652547764546,429894069631598316099914125141561415455,27229306532553729921,4327513752181112711734,4340345010,13231918732307564773267126
20160204,122275122395,3864405919532193011676317312,2844330508,,314213438564436285,415194593335460383951646718855,541725512220340205268261173,4548420674497108748277783213361882,111601272759309595842330022985156191568463106940403718038631,136121488568557174,1679117724918696384396473142394232471745841684716166,4238040235317833186115286151971009312412,27078302532524430011,1156612033523252474329,4244943720,74497108748277783213361882
20160205,123679125469,1679716941195531932335883452,2636827409,,302993307061755711,426864698936184397791744319945,551545625720680205378091105,4466413177910868951284195479467495,590815818621443214061533215348107551190720351953720760126980,732279121521119842,1672817209166701570945124346409840284349459786538986,423504076931887317659739122211479315332,25139293162668329115,1138111640514150224828,4304943879,77910868951284195479467495
