년도,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2016,27113.25536786512,9779.002567518139,17047.086493448565,14160.10816078186,3150.5762971427516,3787.698545679381,3443.158495126719,4426.088892562229,15753.169585887934,7095.562396200693,3804.300192482534,1532.3013611134154,6925.116025318778,14798.938531625103,12948.09649923568,25169.358603502373
2017,19941.915654712087,8196.63261213889,13487.920849807351,9600.278581889997,2406.8405199159497,4106.222537500877,2925.16481505339,3174.7547441759657,9805.217393919615,5023.821751835923,3374.829638220948,1282.2801217581678,4045.450603394414,9955.23728405432,8596.285456710422,19543.051425081896
2018,20991.096982309566,9741.620939305338,13358.10860345075,12926.901101886397,4317.835487071296,5090.443049775453,3705.034983551519,3313.9528332348223,10473.100110327196,4814.563375018282,3278.9296853051105,1334.0272409217366,3907.4864651391717,10291.705063841338,8528.913800807699,18922.679282276244
2019,15964.241669669818,8934.968999538316,9294.890194250042,13156.20395583363,6187.090972900239,6074.26501115537,3439.136617058853,3309.3585015073136,8533.512961087721,3943.525298259181,2836.9473387415455,1364.9968612705209,3516.4829670126733,7914.0054862964325,6593.2242693225535,15978.05636568903
2020,11191.197830990995,7926.142636796808,5343.257636994302,8497.620248675594,5143.160122943645,7153.012301862521,3512.923573061562,3351.296080783538,7207.656434107091,3202.365713309358,2960.9814562298047,1354.4618076752456,3039.276238984963,4804.004885139479,4484.20058831554,11916.777104481676
2021,10466.812005208172,8281.481168354596,4921.047164418186,8724.565042988794,5376.462835220374,9942.482719420888,4106.41867458189,3505.524032909024,8169.116838379125,3957.140265164951,3713.0274141962286,1374.6574666161148,3019.8734353555596,4772.221046416661,4157.752033041879,11755.613230660374
