,기간,구분,기온(℃),강수량(mm),평균운량(10%)
1,2016,서울시,13.6,991.7,4.9
2,2017,서울시,13,1233.2,4.6
3,2018,서울시,12.9,1284.1,4.7
4,2019,서울시,13.5,891.3,4.9
5,2020,서울시,13.2,1651.1,5.1
